지역,매장명,브랜드명
경기도 시흥시 은계호수로 49,시흥그랑트리캐슬점,메가커피
충청남도 아산시 신창면 순천향로 14 . ,순천향대점,메가커피
인천광역시 계양구 계양대로 44 106호(작전동덕용프라자) ,인천작전점,메가커피
인천광역시 부평구 평천로 400 104호(삼산동삼산웰빙프라자) ,인천삼산사거리점,메가커피
경기도 부천시 조마루로85번길 7-11,부천상일사거리점,메가커피
경기도 부천시 성주로 88 (송내동) 메가커피 ,부천고점,메가커피
경기도 부천시 성주로 175 (심곡본동)1층 ,심곡본동점,메가커피
인천광역시 부평구 장제로 388 1층 일부호 ,인천장제로점,메가커피
"경기도 안산시 상록구 건건로66 1층 101,102호(건건동, 스마트타워) ",안산반월점,메가커피
경기도 부천시 중동로 100 (중동) 메가커피 ,중동역북부점,메가커피
인천광역시 서구 승학로 567 (검암동) 메가커피 ,인천검암2지구점,메가커피
경기도 시흥시 목감우회로 45 110호(목감동한울플러스) ,목감중앙점,메가커피
인천광역시 계양구 효서로 305 (작전동) 메가커피 ,인천화전초교점,메가커피
경기도 부천시 상동로 113,부천상동점,메가커피
경기도 부천시 상동로 79 (상동) 메가커피 ,상동로데오점,메가커피
경기도 부천시 부흥로 197 (중동) 메가커피 ,부천중동시장점,메가커피
"경기도 안산시 상록구 건건로 123 (건건동, 한맥빌딩) ",반월역점,메가커피
인천광역시 계양구 주부토로 422 . ,인천작전중앙점,메가커피
경기도 부천시 경인로 222 1층(심곡본동) ,부천남부역점,메가커피
경기도 안산시 상록구 수인로 2020 메가커피(안산수암점) ,안산수암점,메가커피
경기도 부천시 석천로169번길 34,부천중동현대점,메가커피
"경기도 부천시 길주로 137 (상동, 그린힐) ",부천진달래마을점,메가커피
인천광역시 계양구 계양대로 156 메가커피 ,경인교대입구역점,메가커피
경기도 화성시 봉담읍 상리2길 55 ,화성봉담2지구점,메가커피
경기도 부천시 소향로 181 . ,중동센트럴푸르지오점,메가커피
경기도 화성시 봉담읍 삼천병마로 1276 1층 일부호 ,화성상리점,메가커피
"인천광역시 부평구 영성서로 37, 105호 (삼산동, 메디칼센타) ",부평미래타운점,메가커피
경기도 부천시 부일로 460 1층103호(심곡동시네마존) ,부천역점,메가커피
경기도 부천시 소사로 130 1층(소사본동) ,소새울역점,메가커피
인천광역시 계양구 주부토로 473 (계산동) 메가커피 ,인천작전초점,메가커피
인천광역시 계양구 장제로 717 102호(작전동준빌딩) ,인천한림병원점,메가커피
인천광역시 계양구 게양대로 215,계산삼거리점,메가커피
"경기도 부천시 길주로 199, 109호 ",부천시청역점,메가커피
경기도 김포시 양촌읍 황금로109번길 27 ,김포양촌산업단지점,메가커피
"경기도 부천시 소사로 185 1층 103호(소사본동, 골드캐슬) ",부천소사초사거리점,메가커피
"경기도 부천시 부흥로307번길 66 1층 메가커피(중동, 설산프라자) ",부천번영사거리점,메가커피
경기도 화성시 봉담읍 상리3길 43-18 ,화성삼봉근린공원점,메가커피
"경기도 화성시 봉담읍 동화길 51, 142호 ",봉담원희캐슬점,메가커피
경기도 부천시 호현로 491-1 (소사본동) 메가커피 ,소사삼거리점,메가커피
인천광역시 계양구 경명대로 1088 (계산동) 메가커피 ,인천계산역점,메가커피
경기도 부천시 길주로 270 (중동) 메가커피 ,신중동역점,메가커피
인천광역시 계양구 서운로 34,계양효성해링턴점,메가커피
인천광역시 계양구 도두리로 54 106호(작전동) ,계산도두리점,메가커피
인천광역시 서구 봉수대로 1440번안길 28-11 101호(왕길동) ,검단먹거리타운점,메가커피
경기도 화성시 봉담읍 동화길 93-8 1층 108호(쌍용프라자) ,봉담점,메가커피
경기도 부천시 소사동로 82 (소사본동) 메가커피 ,부천소사본점,메가커피
경기도 부천시 신흥로 190 (중동) 메가커피 ,부천위브점,메가커피
경기도 부천시 조종로 3 1층2호(원미동) ,부천북교사거리점,메가커피
인천광역시 계양구 계산새로 93,계양구청점,메가커피
인천광역시 계양구 경명대로 1138,계산중앙점,메가커피
인천광역시 서구 완정로 153,인천검단사거리점,메가커피
인천광역시 서구 청마로19번길 21 (당하동) 메가커피 ,완정역점,메가커피
경기도 부천시 삼작로 22 (삼정동) 메가커피 ,부천테크노파크점,메가커피
경기도 수원시 권선구 금곡로196번길 61 (금곡동) 메가커피 ,수원호매실점,메가커피
"경기도 부천시 범안로219번길 19 (옥길동, 부천옥길자이) 메가커피 ",부천옥길중앙점,메가커피
경기도 수원시 권선구 금곡로102번길 29 메가커피(수원금곡점) ,수원금곡점,메가커피
경기도 김포시 대곶면 율생로 77-1 ,김포대곶사거리점,메가커피
인천광역시 서구 완정로 35 . ,인천마전점,메가커피
