지역,매장명,현황,주소,브랜드명
부산 북구,부산화명점,영업중,"부산광역시 북구 금곡대로285번길 13 (화명동, 스포렉스) 스포렉스 106호,107호,108호",할리스
서울 서초구,방배역점,영업중,"서울특별시 서초구 방배로 107 (방배동, 디엠타워3관) 1층",할리스
경기 고양시 덕양구,고양향동점,영업중,"경기도 고양시 덕양구 향기3로 9, 101호 (향동동) 향동동 536",할리스
광주 북구,광주북구청점,영업중,광주광역시 북구 서방로 2 (중흥동) .,할리스
전북 전주시 완산구,전주한옥마을점,영업중,전라북도 전주시 완산구 은행로 16 (풍남동 1가 53-3) .,할리스
강원 홍천군,(상)홍천휴게소R점,영업중,강원도 홍천군 화촌면 서울양양고속도로 83 .,할리스
부산 부산진구,부산시민공원점,영업중,"부산 부산진구 시민공원로 73, 푸드코트피크닉 범전동 200",할리스
충남 홍성군,충남도청점,영업중,충청남도 홍성군 홍북읍 신경리 553 .,할리스
경기 고양시 일산동구,성남모란역점,영업중,"경기도 성남시 중원구 성남대로1148번길 8 1층, 성남동 3453",할리스
서울 강남구,강남역2점,영업중,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",할리스
서울 용산구,숙대입구점,영업중,서울특별시 용산구 청파로 276 (청파동2가) 2층~3층 할리스,할리스
경남 김해시,김해복음병원점,영업중,경상남도 김해시 활천로 44 (삼정동) 할리스 김해복음병원점,할리스
서울 서대문구,홍제천점,영업중,"서울특별시 서대문구 홍제내길 52,1~2층 홍제동 361-49",할리스
경기 고양시 일산동구,롯데시네마라페스타점,영업중,"경기도 고양시 일산동구 무궁화로 32-34 (장항동, 라페스타C) 3층",할리스
부산 기장군,부산일광신도시점,영업중,부산광역시 기장군 일광읍 해빛6로 43-20 삼성리 840-12,할리스
경기 이천시,이천마장점,영업중,경기도 이천시 마장면 오천로 65 오천리 56-55,할리스
대전 유성구,충남대점,영업중,대전광역시 유성구 대학로 84 (궁동 482-6) .,할리스
서울 광진구,강변역점,영업중,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",할리스
서울 종로구,종각역점,영업중,서울특별시 종로구 종로 60-1 종로2가 102-3,할리스
부산 사하구,부산아트몰링영풍문고점,영업중,"부산광역시 사하구 낙동남로 1413 (하단동, 아트몰링) 13층",할리스
경기 광명시,광명GIDC점,영업중,"경기도 광명시 일직로 43 일직동 514 지하2층 G249, G250호",할리스
경기 이천시,이천점,영업중,경기도 이천시 어재연로 35 (창전동) 1~3층 할리스,할리스
경기 하남시,미사가로수길점,영업중,"경기도 하남시 미사강변한강로 295 (망월동, 하남미사롯데캐슬헤븐시티Ⅱ) .",할리스
경기 시흥시,시흥능곡점,영업중,"경기도 시흥시 능곡번영길 25 (능곡동) 능곡동 211-3 (107,108,205,206호)",할리스
경기 평택시,평택칠괴점,영업중,경기도 평택시 칠괴길 84 칠괴동 492 1층,할리스
경기 평택시,송탄서정점,영업중,"경기도 평택시 경기대로 1371,102호 서정동 814-1",할리스
서울 동작구,장승배기역점,영업중,"서울특별시 동작구 장승배기로11가길 11, 1층 (상도동, 상도파크자이)",할리스
경기 하남시,미사효성해링턴점,영업중,"경기도 하남시 아리수로 570,1~2층 망월동 미사효성해링턴타워더퍼스",할리스
경남 김해시,김해인제대점,영업중,경상남도 김해시 인제로 168 (어방동) 정석빌딩101호,할리스
전남 순천시,순천성가롤로병원점,영업중,"전남 순천시 순광로 221, 순천성가롤로병원 별관 2층 조례동 1742",할리스
부산 부산진구,부산동의대점,영업중,"부산광역시 부산진구 엄광로 176 가야동, 동의대학교",할리스
경기 군포시,금정AK프라자점,영업중,"경기도 군포시 금정동 689 AK프라자 131, 132호",할리스
울산 남구,울산삼산로점,영업중,"울산광역시 남구 삼산로 283 (삼산동, 소망빌딩) 삼산동1525-8,1525-9",할리스
대구 달성군,대구세천점,영업중,대구광역시 달성군 다사읍 세천로 141 세천리 1581-6,할리스
부산 동래구,부산명륜자이점,영업중,"부산광역시 동래구 동래로 77 (명륜동) 1,2층",할리스
경기 부천시,부천송내본점,영업중,경기도 부천시 송내대로 73번길 21 (상동) 1층,할리스
충남 공주시,동학사점,영업중,"충남 공주시 반포면 동학사2로 133 1,2층 .",할리스
서울 서대문구,서울명지대점,영업중,서울특별시 서대문구 거북골로 41-1 (남가좌동) 1층~2층,할리스
경기 부천시,부천순천향병원점,영업중,경기도 부천시 조마루로 170(중동) 본관 지하 1층 .,할리스
전북 전주시 완산구,전주시네마점,영업중,"전라북도 전주시 완산구 전주객사3길 67 (고사동, 전주시네마타운) 1~2층",할리스
충남 천안시 동남구,천안신부점,영업중,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 4~5층",할리스
서울 양천구,목동삼성쉐르빌점,영업중,"서울특별시 양천구 목동동로 189 (신정동, 삼성쉐르빌1) 1층 101,102,103호",할리스
경기 평택시,삼성전자평택캠퍼스점,영업중,경기도 평택시 삼성로 144 고덕면 여염리 1648,할리스
충남 아산시,천안아산역사점,영업중,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,할리스
경기 성남시 분당구,분당미금점,영업중,경기도 성남시 분당구 미금일로90번길 24 (구미동) B1F ~ 1F,할리스
부산 서구,부산서구청점,영업중,부산광역시 서구 보수대로 9 (충무동1가 3-1) 바른빌딩 1층 104호,할리스
대구 북구,대구연경점,영업중,대구광역시 북구 동화천로 229 (연경동) 1층~2층,할리스
울산 울주군,울산율리점,영업중,울산광역시 울주군 청량읍 율리영해1길 46 1층,할리스
경남 창원시 마산회원구,마산호계점,영업중,경상남도 창원시 마산회원구 내서읍 광려천동로 28 (내서신화하니엘더시티) 상가 1~2층,할리스
경남 창원시 진해구,진해경화점,영업중,경상남도 창원시 진해구 조천북로 76 (경화동) .,할리스
서울 동작구,중앙대점,영업중,서울특별시 동작구 흑석로 77 (흑석동) 할리스 1~4층,할리스
경기 고양시 덕양구,고양신원점,영업중,경기도 고양시 덕양구 권율대로 896-19 .,할리스
경기 부천시,부천심곡점,영업중,경기도 부천시 장말로 376 심곡동 355-1,할리스
제주 제주시,제주연북로점,영업중,제주특별자치도 제주시 오남로 166 (오라이동 1550-11),할리스
전북 군산시,군산선유도점,영업중,전라북도 군산시 옥도면 선유도리 213-3 .,할리스
경기 고양시 덕양구,고양삼송점,영업중,"경기도 고양시 덕양구 삼송로 222 (삼송동, 삼송역현대헤리엇) 1층 할리스",할리스
서울 종로구,독립문역점,영업중,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동 1층",할리스
전북 익산시,익산모현점,영업중,전라북도 익산시 선화로3길 16-10 1층,할리스
경기 고양시 일산서구,일산문촌마을점,영업중,"경기도 고양시 일산서구 중앙로 1493 ,상가동 1층 1001-1, 1001-2",할리스
서울 종로구,성균관대점,영업중,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,할리스
대전 서구,대전건양대병원점,영업중,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 지하1층",할리스
대전 유성구,대전유성온천점,영업중,"대전 유성구 온천로 45 1,2층",할리스
경기 시흥시,스틸랜드점,영업중,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",할리스
